ID,MST,Ten_NNT,Dia_chi,CQT
2375,3200401798,Công ty Trách nhiệm hữu hạn Một thành viên Châu Hưng,"116 Trần Hưng Đạo, phường 1, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2376,3200279996,Công ty Trách nhiệm hữu hạn Một thành viên Thương mại Giang Loan,"Số 126 Trần Hưng Đạo, phường 3, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2377,3200222196,Công ty Trách nhiệm hữu hạn Đầu tư Xây dựng và Thương mại Hải Hoa,"Đường Lê Duẩn, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2378,3200643564,Công ty TNHH Thu Nghĩa,"Thôn Long Hưng, xã Hải Phú, huyện Hải Lăng, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2379,3200629908,Công ty TNHH Một thành viên Tôn Thép Chiến Phượng,"số 100 Đường Hùng Vương, thị trấn Diên Sanh, huyện Hải Lăng, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2380,3200587655,Công ty Trách nhiệm hữu hạn Một thành viên Wood Pellets Triệu Phong,"Cụm công nghiệp Ái Tử, thị trấn ái Tử, huyện Triệu Phong, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2381,3200148256,Công ty TNHH Một thành viên Gỗ Nguyên Phong,"Thôn Ái Tử, xã Triệu ái, huyện Triệu Phong, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2382,3200133933,Công ty Trách nhiệm hữu hạn Xây dựng Đồng Tiến 1,"Quốc lộ 1A, thị trấn ái Tử, huyện Triệu Phong, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2383,3200133193,Công ty Trách nhiệm hữu hạn Việt Tâm,"Số nhà 97 đường Nguyễn Huệ, phường 1, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2384,3200112468,Công ty Trách nhiệm hữu hạn Thương mại và Dịch vụ Quỳnh Trần,"42 Ông Ích Khiêm, phường 1, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2385,3200147171,Công ty Cổ phần Đầu tư Xây dựng Đại Hồng,"28 Đoàn Khuê, phường 5, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2386,3200145657,Công ty Trách nhiệm hữu hạn Một thành viên Thúy Nhân,"Số 285 đường Lê Duẩn, phường Đông Lễ, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
